index,source,content_type,release_label,version,released_at,fix_en,summary_ko,source_url,source_anchor,tags,publication_status,collected_at
11,Microsoft Learn,powerbi_changelog,September 2025 QFE 2,2.147.1085.0,"September 19, 2025","Preview feature ""Enable using bundled Oracle Managed ODP Provider for Import Mode"" was enabled by default in the September build. However, we discovered that it fails in certain scenarios where customers use a TNS alias as the server name. To address this, we reverted the default setting of this preview feature to false.","September 2025 QFE 2 변경 로그 항목입니다. 버전 2.147.1085.0. 릴리스일 September 19, 2025. 원문 요약: Preview feature ""Enable using bundled Oracle Managed ODP Provider for Import Mode"" was enabled by default in the September build. However, we discovered that it fails in certain scenarios where customers use a TNS...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#september-2025-qfe-2,september-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
12,Microsoft Learn,powerbi_changelog,September 2025 QFE 2,2.147.1085.0,"September 19, 2025",Correctly categorized Copilot orchestration throttling failures as user error.,"September 2025 QFE 2 변경 로그 항목입니다. 버전 2.147.1085.0. 릴리스일 September 19, 2025. 원문 요약: Correctly categorized Copilot orchestration throttling failures as user error.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#september-2025-qfe-2,september-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Copilot,review,2026-08-15T19:36:05
13,Microsoft Learn,powerbi_changelog,September 2025 QFE 1,2.147.931.0,"September 15, 2025",Resolved an issue where users saw an error while refreshing tables that use DirectQuery.,"September 2025 QFE 1 변경 로그 항목입니다. 버전 2.147.931.0. 릴리스일 September 15, 2025. 원문 요약: Resolved an issue where users saw an error while refreshing tables that use DirectQuery.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#september-2025-qfe-1,september-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; DirectQuery; 새로 고침,review,2026-08-15T19:36:05
14,Microsoft Learn,powerbi_changelog,August 2025 QFE 3,2.146.1254.0,"August 28, 2025","Resolved an issue where users are unable to save Power BI Desktop reports after converting from LiveConnect to a composite model, with the Save button failing to update the file.","August 2025 QFE 3 변경 로그 항목입니다. 버전 2.146.1254.0. 릴리스일 August 28, 2025. 원문 요약: Resolved an issue where users are unable to save Power BI Desktop reports after converting from LiveConnect to a composite model, with the Save button failing to update the file.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-3,august-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링; 저장,review,2026-08-15T19:36:05
15,Microsoft Learn,powerbi_changelog,August 2025 QFE 3,2.146.1254.0,"August 28, 2025","Fixed the missing ""Queries"" section in PowerQuery Editor for dark and light mode.","August 2025 QFE 3 변경 로그 항목입니다. 버전 2.146.1254.0. 릴리스일 August 28, 2025. 원문 요약: Fixed the missing ""Queries"" section in PowerQuery Editor for dark and light mode.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-3,august-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
16,Microsoft Learn,powerbi_changelog,August 2025 QFE 2,2.146.1133.0,"August 25, 2025","Fixed a save issue that triggered a ""Column or Measure not found in model"" error for some users.","August 2025 QFE 2 변경 로그 항목입니다. 버전 2.146.1133.0. 릴리스일 August 25, 2025. 원문 요약: Fixed a save issue that triggered a ""Column or Measure not found in model"" error for some users.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-2,august-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링; 저장,review,2026-08-15T19:36:05
17,Microsoft Learn,powerbi_changelog,August 2025 QFE 2,2.146.1133.0,"August 25, 2025",Fixed bug where restricted users were able to see the Azure Maps conversion dialog when logged in.,"August 2025 QFE 2 변경 로그 항목입니다. 버전 2.146.1133.0. 릴리스일 August 25, 2025. 원문 요약: Fixed bug where restricted users were able to see the Azure Maps conversion dialog when logged in.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-2,august-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
18,Microsoft Learn,powerbi_changelog,August 2025 QFE 2,2.146.1133.0,"August 25, 2025",Addressed an issue where UI buttons were incorrectly displayed by adding debug mode support for conditional visibility.,"August 2025 QFE 2 변경 로그 항목입니다. 버전 2.146.1133.0. 릴리스일 August 25, 2025. 원문 요약: Addressed an issue where UI buttons were incorrectly displayed by adding debug mode support for conditional visibility.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-2,august-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
19,Microsoft Learn,powerbi_changelog,August 2025 QFE 1,2.146.1026.0,"August 19, 2025",Fixed Databricks SQL Endpoint connection issue.,"August 2025 QFE 1 변경 로그 항목입니다. 버전 2.146.1026.0. 릴리스일 August 19, 2025. 원문 요약: Fixed Databricks SQL Endpoint connection issue.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-1,august-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
20,Microsoft Learn,powerbi_changelog,August 2025 QFE 1,2.146.1026.0,"August 19, 2025",Fixed DirectQuery failures for Gen1 Dataflows with Enhanced compute.,"August 2025 QFE 1 변경 로그 항목입니다. 버전 2.146.1026.0. 릴리스일 August 19, 2025. 원문 요약: Fixed DirectQuery failures for Gen1 Dataflows with Enhanced compute.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-1,august-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; DirectQuery,review,2026-08-15T19:36:05
21,Microsoft Learn,powerbi_changelog,August 2025 QFE 1,2.146.1026.0,"August 19, 2025",Fixed PBIR versioning issues with the Translytical task flows preview.,"August 2025 QFE 1 변경 로그 항목입니다. 버전 2.146.1026.0. 릴리스일 August 19, 2025. 원문 요약: Fixed PBIR versioning issues with the Translytical task flows preview.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#august-2025-qfe-1,august-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
22,Microsoft Learn,powerbi_changelog,July 2025 QFE 3,2.145.1602.0,"July 31, 2025",Fixed the issue of Snowflake query with count-distinct logic returning incorrect result.,"July 2025 QFE 3 변경 로그 항목입니다. 버전 2.145.1602.0. 릴리스일 July 31, 2025. 원문 요약: Fixed the issue of Snowflake query with count-distinct logic returning incorrect result.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#july-2025-qfe-3,july-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Snowflake,review,2026-08-15T19:36:05
23,Microsoft Learn,powerbi_changelog,July 2025 QFE 3,2.145.1602.0,"July 31, 2025","Fixed the error ""Object reference not set to an instance of an object"" while creating relationships when connected to Snowflake.","July 2025 QFE 3 변경 로그 항목입니다. 버전 2.145.1602.0. 릴리스일 July 31, 2025. 원문 요약: Fixed the error ""Object reference not set to an instance of an object"" while creating relationships when connected to Snowflake.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#july-2025-qfe-3,july-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Snowflake; 모델링,review,2026-08-15T19:36:05
24,Microsoft Learn,powerbi_changelog,July 2025 QFE 2,2.145.1457.0,"July 28, 2025","Fixed reports not behaving properly (unable to navigate pages, wrong visuals being displayed) after ungrouping visuals.","July 2025 QFE 2 변경 로그 항목입니다. 버전 2.145.1457.0. 릴리스일 July 28, 2025. 원문 요약: Fixed reports not behaving properly (unable to navigate pages, wrong visuals being displayed) after ungrouping visuals.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#july-2025-qfe-2,july-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
25,Microsoft Learn,powerbi_changelog,July 2025 QFE 1,2.145.1262.0,"July 23, 2025",Fixed the issue of Dataflow refresh failing in Power BI Desktop.,"July 2025 QFE 1 변경 로그 항목입니다. 버전 2.145.1262.0. 릴리스일 July 23, 2025. 원문 요약: Fixed the issue of Dataflow refresh failing in Power BI Desktop.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#july-2025-qfe-1,july-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 새로 고침,review,2026-08-15T19:36:05
26,Microsoft Learn,powerbi_changelog,June 2025 QFE 3,2.144.1378.0,"July 3, 2025",Resolved an issue where the product would fail to refresh tables when opening the model and the local model.abf is stale.,"June 2025 QFE 3 변경 로그 항목입니다. 버전 2.144.1378.0. 릴리스일 July 3, 2025. 원문 요약: Resolved an issue where the product would fail to refresh tables when opening the model and the local model.abf is stale.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-3,june-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링; 새로 고침,review,2026-08-15T19:36:05
27,Microsoft Learn,powerbi_changelog,June 2025 QFE 3,2.144.1378.0,"July 3, 2025","Fixed a bug in error handling by mapping the unrecognized error code to a user-friendly ""region not supported"" message for Copilot.","June 2025 QFE 3 변경 로그 항목입니다. 버전 2.144.1378.0. 릴리스일 July 3, 2025. 원문 요약: Fixed a bug in error handling by mapping the unrecognized error code to a user-friendly ""region not supported"" message for Copilot.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-3,june-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Copilot,review,2026-08-15T19:36:05
28,Microsoft Learn,powerbi_changelog,June 2025 QFE 2,2.144.1155.0,"June 25, 2025",Fixed issue Index was outside the bounds of the array when using Implementation 2.0 for connectors.,"June 2025 QFE 2 변경 로그 항목입니다. 버전 2.144.1155.0. 릴리스일 June 25, 2025. 원문 요약: Fixed issue Index was outside the bounds of the array when using Implementation 2.0 for connectors.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-2,june-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
29,Microsoft Learn,powerbi_changelog,June 2025 QFE 1,2.144.878.0,"June 16, 2025",Fixed an issue with incremental refresh validation for tables referencing multiple data sources.,"June 2025 QFE 1 변경 로그 항목입니다. 버전 2.144.878.0. 릴리스일 June 16, 2025. 원문 요약: Fixed an issue with incremental refresh validation for tables referencing multiple data sources.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-1,june-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 새로 고침,review,2026-08-15T19:36:05
30,Microsoft Learn,powerbi_changelog,June 2025 QFE 1,2.144.878.0,"June 16, 2025","Addressed UI regression in high-contrast mode for the Manage relationships dialog, resolving visual distortions in the high-contrast mode display of checkboxes and icons within the Manage relationships pane.","June 2025 QFE 1 변경 로그 항목입니다. 버전 2.144.878.0. 릴리스일 June 16, 2025. 원문 요약: Addressed UI regression in high-contrast mode for the Manage relationships dialog, resolving visual distortions in the high-contrast mode display of checkboxes and icons within the Manage relationships pane.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-1,june-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화; 모델링,review,2026-08-15T19:36:05
31,Microsoft Learn,powerbi_changelog,June 2025 QFE 1,2.144.878.0,"June 16, 2025",Addressed a regression that resulted in conditional-formatting colors being improperly deleted.,"June 2025 QFE 1 변경 로그 항목입니다. 버전 2.144.878.0. 릴리스일 June 16, 2025. 원문 요약: Addressed a regression that resulted in conditional-formatting colors being improperly deleted.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#june-2025-qfe-1,june-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
32,Microsoft Learn,powerbi_changelog,May 2025 QFE 2,2.143.1378.0,"June 4, 2025",Addressed regression that resulted in conditional formatting colors being improperly deleted.,"May 2025 QFE 2 변경 로그 항목입니다. 버전 2.143.1378.0. 릴리스일 June 4, 2025. 원문 요약: Addressed regression that resulted in conditional formatting colors being improperly deleted.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#may-2025-qfe-2,may-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
33,Microsoft Learn,powerbi_changelog,May 2025 QFE 1,2.143.1204.0,"May 28, 2025",Addressed regression in the filter pane Apply button not appearing.,"May 2025 QFE 1 변경 로그 항목입니다. 버전 2.143.1204.0. 릴리스일 May 28, 2025. 원문 요약: Addressed regression in the filter pane Apply button not appearing.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#may-2025-qfe-1,may-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
34,Microsoft Learn,powerbi_changelog,May 2025 QFE 1,2.143.1204.0,"May 28, 2025",Addressed the incorrect inclusion of the action button loading state for non-DataFunction visual link types.,"May 2025 QFE 1 변경 로그 항목입니다. 버전 2.143.1204.0. 릴리스일 May 28, 2025. 원문 요약: Addressed the incorrect inclusion of the action button loading state for non-DataFunction visual link types.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#may-2025-qfe-1,may-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
35,Microsoft Learn,powerbi_changelog,May 2025 QFE 1,2.143.1204.0,"May 28, 2025",Addressed dark mode styling issues for relationship checkboxes.,"May 2025 QFE 1 변경 로그 항목입니다. 버전 2.143.1204.0. 릴리스일 May 28, 2025. 원문 요약: Addressed dark mode styling issues for relationship checkboxes.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#may-2025-qfe-1,may-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링,review,2026-08-15T19:36:05
36,Microsoft Learn,powerbi_changelog,May 2025 QFE 1,2.143.1204.0,"May 28, 2025",Addressed outdated theme state IDs by introducing a feature switch to ignore them in button slicer visuals.,"May 2025 QFE 1 변경 로그 항목입니다. 버전 2.143.1204.0. 릴리스일 May 28, 2025. 원문 요약: Addressed outdated theme state IDs by introducing a feature switch to ignore them in button slicer visuals.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#may-2025-qfe-1,may-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
37,Microsoft Learn,powerbi_changelog,April 2025 QFE 1,2.142.1277.0,"May 5, 2025",Addressed the incorrect classification of user errors in the orchestrator for the Desktop RAC.,"April 2025 QFE 1 변경 로그 항목입니다. 버전 2.142.1277.0. 릴리스일 May 5, 2025. 원문 요약: Addressed the incorrect classification of user errors in the orchestrator for the Desktop RAC.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#april-2025-qfe-1,april-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
38,Microsoft Learn,powerbi_changelog,April 2025 QFE 1,2.142.1277.0,"May 5, 2025",Fixed the warning bar issue related to unsaved layout changes.,"April 2025 QFE 1 변경 로그 항목입니다. 버전 2.142.1277.0. 릴리스일 May 5, 2025. 원문 요약: Fixed the warning bar issue related to unsaved layout changes.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#april-2025-qfe-1,april-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 저장,review,2026-08-15T19:36:05
39,Microsoft Learn,powerbi_changelog,April 2025 QFE 1,2.142.1277.0,"May 5, 2025",Addressed a bug causing NullReferenceException due to two files being opened at the same time.,"April 2025 QFE 1 변경 로그 항목입니다. 버전 2.142.1277.0. 릴리스일 May 5, 2025. 원문 요약: Addressed a bug causing NullReferenceException due to two files being opened at the same time.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#april-2025-qfe-1,april-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
40,Microsoft Learn,powerbi_changelog,April 2025 QFE 1,2.142.1277.0,"May 5, 2025",Fixed access to Power Platform Dataflows and Dataverse in government clouds.,"April 2025 QFE 1 변경 로그 항목입니다. 버전 2.142.1277.0. 릴리스일 May 5, 2025. 원문 요약: Fixed access to Power Platform Dataflows and Dataverse in government clouds.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#april-2025-qfe-1,april-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
41,Microsoft Learn,powerbi_changelog,March 2025 QFE 5,2.141.1754.0,"April 16, 2025",Addressed the issue where new Card visual conditional formatting wasn't working without small multiples.,"March 2025 QFE 5 변경 로그 항목입니다. 버전 2.141.1754.0. 릴리스일 April 16, 2025. 원문 요약: Addressed the issue where new Card visual conditional formatting wasn't working without small multiples.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-5,march-2025-qfe-5,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
42,Microsoft Learn,powerbi_changelog,March 2025 QFE 5,2.141.1754.0,"April 16, 2025","Addressed the issue where two separate Working on this dialogs were displayed, and the second Working on this dialog would hang.","March 2025 QFE 5 변경 로그 항목입니다. 버전 2.141.1754.0. 릴리스일 April 16, 2025. 원문 요약: Addressed the issue where two separate Working on this dialogs were displayed, and the second Working on this dialog would hang.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-5,march-2025-qfe-5,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
43,Microsoft Learn,powerbi_changelog,March 2025 QFE 3,2.141.1580.0,"April 10, 2025","Addressed the issue where two separate Working on this dialogs were displayed, and the second Working on this dialog would hang.","March 2025 QFE 3 변경 로그 항목입니다. 버전 2.141.1580.0. 릴리스일 April 10, 2025. 원문 요약: Addressed the issue where two separate Working on this dialogs were displayed, and the second Working on this dialog would hang.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-3,march-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
44,Microsoft Learn,powerbi_changelog,March 2025 QFE 3,2.141.1580.0,"April 10, 2025",Fixed Snowflake connector issues for March 2025 release.,"March 2025 QFE 3 변경 로그 항목입니다. 버전 2.141.1580.0. 릴리스일 April 10, 2025. 원문 요약: Fixed Snowflake connector issues for March 2025 release.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-3,march-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Snowflake,review,2026-08-15T19:36:05
45,Microsoft Learn,powerbi_changelog,March 2025 QFE 3,2.141.1580.0,"April 10, 2025",Addressed a bug causing TaskCanceledException in the Power BI Windows application.,"March 2025 QFE 3 변경 로그 항목입니다. 버전 2.141.1580.0. 릴리스일 April 10, 2025. 원문 요약: Addressed a bug causing TaskCanceledException in the Power BI Windows application.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-3,march-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
46,Microsoft Learn,powerbi_changelog,March 2025 QFE 2,2.141.1451.0,"April 4, 2025",Addressed the issue where Edit in Desktop doesn't work for Microsoft Store installations of Power BI Desktop.,"March 2025 QFE 2 변경 로그 항목입니다. 버전 2.141.1451.0. 릴리스일 April 4, 2025. 원문 요약: Addressed the issue where Edit in Desktop doesn't work for Microsoft Store installations of Power BI Desktop.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-2,march-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
47,Microsoft Learn,powerbi_changelog,March 2025 QFE 1,2.141.1253.0,"March 30, 2025",Addressed the issue of a gray/empty Load to report dialog in the Power BI client for Windows.,"March 2025 QFE 1 변경 로그 항목입니다. 버전 2.141.1253.0. 릴리스일 March 30, 2025. 원문 요약: Addressed the issue of a gray/empty Load to report dialog in the Power BI client for Windows.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2025-qfe-1,march-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
48,Microsoft Learn,powerbi_changelog,February 2025 QFE 5,2.140.1577.0,"March 14, 2025","Addressed issues with host promise rejections in various views and dialogs, ensuring proper error handling and feedback.","February 2025 QFE 5 변경 로그 항목입니다. 버전 2.140.1577.0. 릴리스일 March 14, 2025. 원문 요약: Addressed issues with host promise rejections in various views and dialogs, ensuring proper error handling and feedback.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-5,february-2025-qfe-5,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
