channel_name,channel_type,topic,title_en,title_ko,summary_ko,published_at,video_url,thumbnail_url,thumbnail_asset
RADACAD,모델링,시각화,Skills for Power BI Report Authoring | Fabric Insider Ep. 15 | Harleen Kaur,Skills for Power BI Report Authoring | Fabric Insider Ep. 15 | Harleen Kaur,보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-13,https://www.youtube.com/watch?v=DWVOFK_JU2U,https://i1.ytimg.com/vi/DWVOFK_JU2U/hqdefault.jpg,powerbi_learning_thumbs/DWVOFK_JU2U.jpg
RADACAD,모델링,Fabric,"Fabric CLI Explained — Install, Commands & AI-Powered Automation with Copilot","Fabric CLI Explained — Install, Commands & AI-Powered Automation with Copilot",Fabric과 Power BI의 최신 기능 흐름을 파악하는 데 도움이 되는 영상입니다.,2026-08-12,https://www.youtube.com/watch?v=e7cxrz95vyE,https://i2.ytimg.com/vi/e7cxrz95vyE/hqdefault.jpg,powerbi_learning_thumbs/e7cxrz95vyE.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,Power BI Azure Map (애저맵) 활용법 1 - 드디어 이제 한국에서도 사용 가능!,Power BI Azure Map (애저맵) 활용법 1 - 드디어 이제 한국에서도 사용 가능!,한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-08-11,https://www.youtube.com/watch?v=nVXtRrgm2DY,https://i3.ytimg.com/vi/nVXtRrgm2DY/hqdefault.jpg,powerbi_learning_thumbs/nVXtRrgm2DY.jpg
Havens Consulting,시각화,시각화,Is your data actually ready for AI? Discover the next evolution of BI Pixie.,Is your data actually ready for AI? Discover the next evolution of BI Pixie.,보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-10,https://www.youtube.com/watch?v=usM9aKwRqIg,https://i2.ytimg.com/vi/usM9aKwRqIg/hqdefault.jpg,powerbi_learning_thumbs/usM9aKwRqIg.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,클릭 가능한 카드 UI 구현하는 간단한 방법 2가지,클릭 가능한 카드 UI 구현하는 간단한 방법 2가지,한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-07-27,https://www.youtube.com/watch?v=G2_u8PWjFH8,https://i4.ytimg.com/vi/G2_u8PWjFH8/hqdefault.jpg,powerbi_learning_thumbs/G2_u8PWjFH8.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,Power BI 활용 사례2 - 데이터 활용능력이 필수가 된 AI시대에 BI 도구를 제대로 쓰는 법 | 입문 가이드,Power BI 활용 사례2 - 데이터 활용능력이 필수가 된 AI시대에 BI 도구를 제대로 쓰는 법 | 입문 가이드,한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-06-21,https://www.youtube.com/watch?v=1GaIDW58odE,https://i2.ytimg.com/vi/1GaIDW58odE/hqdefault.jpg,powerbi_learning_thumbs/1GaIDW58odE.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,"Power BI 심화 강의 (Part 1) |  DAX와 모델링, 시각화까지 이 영상 하나로 끝내세요~👍(3시간 풀버전)","Power BI 심화 강의 (Part 1) | DAX와 모델링, 시각화까지 이 영상 하나로 끝내세요~👍(3시간 풀버전)",한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-05-23,https://www.youtube.com/watch?v=8rkcEj9jcw8,https://i1.ytimg.com/vi/8rkcEj9jcw8/hqdefault.jpg,powerbi_learning_thumbs/8rkcEj9jcw8.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,스토리가 살아나는 데이터시각화 기법 | 질문을 바꾸면 대시보드가 달라진다 (feat. 수입차 시장 분석),스토리가 살아나는 데이터시각화 기법 | 질문을 바꾸면 대시보드가 달라진다 (feat. 수입차 시장 분석),한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-04-09,https://www.youtube.com/watch?v=R1NoB3g-lnU,https://i3.ytimg.com/vi/R1NoB3g-lnU/hqdefault.jpg,powerbi_learning_thumbs/R1NoB3g-lnU.jpg
Microsoft Power BI,공식,공식 학습,Power BI 10th birthday party!,Power BI 10th birthday party!,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-07-24,https://www.youtube.com/watch?v=nbpEawj9I_Q,https://i3.ytimg.com/vi/nbpEawj9I_Q/hqdefault.jpg,powerbi_learning_thumbs/nbpEawj9I_Q.jpg
Microsoft Power BI,공식,공식 학습,Boosting Performance in Your SQL Server Data Warehouse,Boosting Performance in Your SQL Server Data Warehouse,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-05-28,https://www.youtube.com/watch?v=ianSkj0E7lM,https://i2.ytimg.com/vi/ianSkj0E7lM/hqdefault.jpg,powerbi_learning_thumbs/ianSkj0E7lM.jpg
