index,source,content_type,title_en,title_ko,summary_en,summary_ko,source_url,source_anchor,release_label,version,section,feature_title_en,feature_title_ko,feature_description_en,feature_description_ko,image_urls,tags,publication_status,collected_at
11,Microsoft Learn,powerbi_update,Power BI June 2026 update: Matrix row and column header auto-expand (Generally Available),Power BI June 2026 업데이트: Matrix row and column header auto-expand (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Matrix row and column header auto-expand (정식 제공)' 항목입니다. 원문 요약: Matrix visuals now let you set auto-expand behavior for row and column headers so newly added hierarchy levels open expanded by default. For more information, see Format settings for the matrix visual in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Matrix row and column header auto-expand (Generally Available),Matrix row and column header auto-expand (정식 제공),"Matrix visuals now let you set auto-expand behavior for row and column headers so newly added hierarchy levels open expanded by default. For more information, see Format settings for the matrix visual in Power BI .","원문 요약: Matrix visuals now let you set auto-expand behavior for row and column headers so newly added hierarchy levels open expanded by default. For more information, see Format settings for the matrix visual in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
12,Microsoft Learn,powerbi_update,Power BI June 2026 update: Scatter charts: Auto-fit markers,Power BI June 2026 업데이트: Scatter charts: Auto-fit markers,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Scatter charts: Auto-fit markers' 항목입니다. 원문 요약: Scatter charts add Auto-fit markers to keep bubbles and markers fully visible near plot boundaries without manual axis range tuning. For more information, see Scatter charts, bubble charts, and dot plot charts in...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Scatter charts: Auto-fit markers,Scatter charts: Auto-fit markers,"Scatter charts add Auto-fit markers to keep bubbles and markers fully visible near plot boundaries without manual axis range tuning. For more information, see Scatter charts, bubble charts, and dot plot charts in Power BI .","원문 요약: Scatter charts add Auto-fit markers to keep bubbles and markers fully visible near plot boundaries without manual axis range tuning. For more information, see Scatter charts, bubble charts, and dot plot charts in...",,Power BI; Power BI 업데이트; Reporting; 시각화,review,2026-08-15T19:36:05
13,Microsoft Learn,powerbi_update,Power BI June 2026 update: Axis improvements for bar and column charts (Generally Available),Power BI June 2026 업데이트: Axis improvements for bar and column charts (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Axis improvements for bar and column charts (정식 제공)' 항목입니다. 원문 요약: Bar and column charts add Rounded range control and keep axis ranges stable when data labels are enabled. For more information, see Create and use column charts in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Axis improvements for bar and column charts (Generally Available),Axis improvements for bar and column charts (정식 제공),"Bar and column charts add Rounded range control and keep axis ranges stable when data labels are enabled. For more information, see Create and use column charts in Power BI .","원문 요약: Bar and column charts add Rounded range control and keep axis ranges stable when data labels are enabled. For more information, see Create and use column charts in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
14,Microsoft Learn,powerbi_update,Power BI June 2026 update: Card visual image hover state options (Generally Available),Power BI June 2026 업데이트: Card visual image hover state options (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Card visual image hover state options (정식 제공)' 항목입니다. 원문 요약: Card visuals now support hover-state image formatting, including alternate image source, transparency, effects, and background styling. For more information, see Create a card visual in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Card visual image hover state options (Generally Available),Card visual image hover state options (정식 제공),"Card visuals now support hover-state image formatting, including alternate image source, transparency, effects, and background styling. For more information, see Create a card visual in Power BI .","원문 요약: Card visuals now support hover-state image formatting, including alternate image source, transparency, effects, and background styling. For more information, see Create a card visual in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
15,Microsoft Learn,powerbi_update,Power BI June 2026 update: Slicer selection icon color formatting (Generally Available),Power BI June 2026 업데이트: Slicer selection icon color formatting (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Slicer selection icon color formatting (정식 제공)' 항목입니다. 원문 요약: Slicers now let you set selection icon colors to improve contrast and readability, especially for dark themes and custom branding. For more information, see Slicers in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Slicer selection icon color formatting (Generally Available),Slicer selection icon color formatting (정식 제공),"Slicers now let you set selection icon colors to improve contrast and readability, especially for dark themes and custom branding. For more information, see Slicers in Power BI .","원문 요약: Slicers now let you set selection icon colors to improve contrast and readability, especially for dark themes and custom branding. For more information, see Slicers in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI,review,2026-08-15T19:36:05
16,Microsoft Learn,powerbi_update,Power BI June 2026 update: Matrix and table fixed-width conditional formatting (Generally Available),Power BI June 2026 업데이트: Matrix and table fixed-width conditional formatting (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Matrix and table fixed-width conditional formatting (정식 제공)' 항목입니다. 원문 요약: Matrix and table visuals support rule-based fixed width formatting so column widths can be controlled more consistently by scenario. For more information, see Tables in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Matrix and table fixed-width conditional formatting (Generally Available),Matrix and table fixed-width conditional formatting (정식 제공),"Matrix and table visuals support rule-based fixed width formatting so column widths can be controlled more consistently by scenario. For more information, see Tables in Power BI .","원문 요약: Matrix and table visuals support rule-based fixed width formatting so column widths can be controlled more consistently by scenario. For more information, see Tables in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
17,Microsoft Learn,powerbi_update,Power BI June 2026 update: Azure Maps selections on by default (Generally Available),Power BI June 2026 업데이트: Azure Maps selections on by default (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Azure Maps selections on by default (정식 제공)' 항목입니다. 원문 요약: Azure Maps now shows selection controls by default so users can start multi-point selection with circles, rectangles, polygons, distance, and drive-time tools. For more information, see Azure and Power BI map...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Azure Maps selections on by default (Generally Available),Azure Maps selections on by default (정식 제공),"Azure Maps now shows selection controls by default so users can start multi-point selection with circles, rectangles, polygons, distance, and drive-time tools. For more information, see Azure and Power BI map visualizations .","원문 요약: Azure Maps now shows selection controls by default so users can start multi-point selection with circles, rectangles, polygons, distance, and drive-time tools. For more information, see Azure and Power BI map...",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
18,Microsoft Learn,powerbi_update,Power BI June 2026 update: Tooltip sentence options for visuals (Generally Available),Power BI June 2026 업데이트: Tooltip sentence options for 시각적 요소 (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Tooltip sentence options for 시각적 요소 (정식 제공)' 항목입니다. 원문 요약: Tooltip options now include sentence-style text so authors can explain values with context without creating full tooltip pages. For more information, see Tooltips in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Tooltip sentence options for visuals (Generally Available),Tooltip sentence options for 시각적 요소 (정식 제공),"Tooltip options now include sentence-style text so authors can explain values with context without creating full tooltip pages. For more information, see Tooltips in Power BI .","원문 요약: Tooltip options now include sentence-style text so authors can explain values with context without creating full tooltip pages. For more information, see Tooltips in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
19,Microsoft Learn,powerbi_update,Power BI June 2026 update: DAX user-defined functions (Generally Available),Power BI June 2026 업데이트: DAX user-defined functions (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'DAX user-defined functions (정식 제공)' 항목입니다. 원문 요약: DAX UDFs are now generally available with reusable typed function signatures and broader authoring workflows across Desktop and web modeling. For more information, see DAX user-defined functions best practices .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Modeling,DAX user-defined functions (Generally Available),DAX user-defined functions (정식 제공),"DAX UDFs are now generally available with reusable typed function signatures and broader authoring workflows across Desktop and web modeling. For more information, see DAX user-defined functions best practices .","원문 요약: DAX UDFs are now generally available with reusable typed function signatures and broader authoring workflows across Desktop and web modeling. For more information, see DAX user-defined functions best practices .",,Power BI; Power BI 업데이트; Modeling; AI; 모델링,review,2026-08-15T19:36:05
20,Microsoft Learn,powerbi_update,Power BI June 2026 update: DAX UDF optional parameters,Power BI June 2026 업데이트: DAX UDF optional parameters,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'DAX UDF optional parameters' 항목입니다. 원문 요약: UDFs now support default expressions for parameters so callers can omit selected arguments while preserving type-aware execution. For more information, see DAX user-defined functions best practices .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Modeling,DAX UDF optional parameters,DAX UDF optional parameters,"UDFs now support default expressions for parameters so callers can omit selected arguments while preserving type-aware execution. For more information, see DAX user-defined functions best practices .","원문 요약: UDFs now support default expressions for parameters so callers can omit selected arguments while preserving type-aware execution. For more information, see DAX user-defined functions best practices .",,Power BI; Power BI 업데이트; Modeling; 모델링,review,2026-08-15T19:36:05
21,Microsoft Learn,powerbi_update,Power BI June 2026 update: DAX query view result grid sorting and filtering (Generally Available),Power BI June 2026 업데이트: DAX query view result grid sorting and filtering (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'DAX query view result grid sorting and filtering (정식 제공)' 항목입니다. 원문 요약: DAX query view result grids now include sort and filter controls to inspect query output without rewriting query text. For more information, see DAX query view in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Modeling,DAX query view result grid sorting and filtering (Generally Available),DAX query view result grid sorting and filtering (정식 제공),"DAX query view result grids now include sort and filter controls to inspect query output without rewriting query text. For more information, see DAX query view in Power BI .","원문 요약: DAX query view result grids now include sort and filter controls to inspect query output without rewriting query text. For more information, see DAX query view in Power BI .",,Power BI; Power BI 업데이트; Modeling; AI; 모델링,review,2026-08-15T19:36:05
